Name,Smiles
80,Cc1cnc2nc(-c3ccccc3)ccc2c1
81,Cc1ccc(NC(=O)c2ccc(CSc3nnc(C)s3)cc2)c(C)c1
82,Cc1ccc(S(=O)(=O)Nc2cccc(-c3ccc(N4CCCCCC4)nn3)c2)c(C)c1
83,CS(=O)(=O)N1CCCCC1c1cc(C(=O)Nc2ccccc2)no1
84,N#C/C(=C\c1ccc(OCc2ccccc2)cc1)C(N)=O
85,COc1ccc(NC(=O)c2ccccc2)cc1
86,Cl.O=[N+]([O-])c1ccccc1/C=N/NC1=NCCCCC1
87,Oc1ccc(-c2csc(Nc3ccccn3)n2)cc1
88,Cc1ccc(/C=N/N2CCN(c3ccccn3)CC2)cc1
89,COc1cccc(C(=O)NCCn2ccc3ccccc32)c1
90,CN(C)c1ccc(-c2nc(-c3ccco3)no2)cc1[N+](=O)[O-]
91,N=C(NOC(=O)COc1ccc(Br)cc1Cl)c1cccnc1
92,COc1ccc2oc(C(=O)Nc3nccs3)c(C)c2c1
93,O=C(Nc1ccc(Br)cc1)c1cc(-c2cccs2)on1
94,COC(=O)CCC(=O)OC1(C)C(=O)C=C2C=C(C3CC3)N(Cc3ccc(OC)cc3)C=C2C1=O
95,Cc1ccc(NC(=O)c2ccc(CSc3nnnn3C)cc2)cc1
96,O=C(c1cc(-c2ccc(Cl)cc2Cl)on1)N1CCCC1
97,COc1ccc(Cl)c(-c2cc(C(=O)Nc3ccccc3)[nH]n2)c1
98,O=C(NC(=S)NCC1CCCO1)c1ccc(Br)o1
99,Cc1n[nH]c(SCc2ccc(Cl)c(Cl)c2)n1
100,COc1ccccc1-c1cnn2c(NCCc3ccccc3)cc(C)nc12
101,CN(C)c1ccc(NC(=O)c2ccc(COc3cccc(Cl)c3)o2)cc1
102,CC(=O)c1ccc(OCc2cc(C(=O)NC(C)CCn3cccn3)no2)cc1
103,Cc1ccsc1/C=N/NC(=O)c1ccccn1
104,CCCSc1nc(=O)n2cc(C)ccc2n1
105,Cc1cc(NCCCN2CCOCC2)n2ncc(-c3ccccc3)c2n1
106,c1ccc(-c2cc(-c3ccccc3)[nH]n2)cc1
107,Cc1cccc(C(=N)NOC(=O)c2cccnc2)c1
108,O=C(N/N=C/c1ccccc1)NC1CCCCC1
109,O=C(Nc1ccccc1)C(=O)Nc1cccnc1
110,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
